symbol,direction,t_entry,entry,sl0,tp,qty,sl_init,t_exit,exit,reason,pnl,r,mfe_pct,mae_pct,mfe_r,mae_r,duration_m5
BNBUSDT,1,1634898900,491.657453,485.26840108263025,506.66,7.039051878514638,477.45099427148415,1634911200,485.1228205623055,stop,-49.77920059668918,-0.49779200596689177,0.006798528080077787,0.022469817008957175,0.2352836173937364,0.777635947924519,42
BNBUSDT,1,1640073300,527.918328,525.7184824525139,544.82,13.443519692113293,520.5168282236872,1640100300,525.5607669077781,stop,-39.48327579533736,-0.3968080366387957,0.015327507250326071,0.005850010950936208,1.0932476179889923,0.41725705510166855,91
BNBUSDT,-1,1643947500,370.008964,371.17498779961346,359.15,13.521839759711105,377.33839379633395,1643950500,371.361375,stop,-23.800664840879282,-0.2401502893622666,0.0002944901626762061,0.004029729398663996,0.014866640793055453,0.20343137753305132,11
BNBUSDT,-1,1648815900,427.60168100000004,432.29583485852083,413.01,21.06223433818728,432.29583485852083,1648816500,432.4255236089784,stop,-111.56365542721423,-1.1283945373666142,0.0008692224949415567,0.014893110300939124,0.07917955209869211,1.3566489705999434,3
BNBUSDT,-1,1659443700,278.476432,283.15998726553744,274.09,7.158974840343662,285.30378746733015,1659451500,283.2449352617171,stop,-36.34933690126005,-0.3718460272068267,0.006379110746434729,0.019799047123671927,0.2601932781295,0.8075700798622838,27
BNBUSDT,1,1673776800,296.48891999999995,297.9024785743026,315.3,4.80683789637698,286.35853483163476,1673780100,297.290786,stop,2.284628340521374,0.023458494114532033,0.0038823710511679023,0.0033354366159786025,0.11362647923739241,0.0976191905405645,12
BNBUSDT,-1,1678639200,274.047761,275.8814694096544,264.51,39.12554656954374,276.5375175270978,1678641900,275.9642338504773,stop,-86.81878371569753,-0.8912435507224526,0.0,0.01792475509405822,0.0,1.9729796654960203,10
BNBUSDT,-1,1687298100,243.316983,242.67940759359223,237.12,24.595695917216197,245.27962104520074,1687298100,243.46301699999998,stop,-10.176788929794782,-0.10540991014919013,0.00039858705629271463,0.0014097536298976847,0.04941461327377591,0.17477343865761952,1
BNBUSDT,-1,1687457100,244.75655100000003,245.40610649994346,237.35,7.783030798943602,250.95228192492627,1687533300,245.47972833189343,stop,-7.727049680663965,-0.08012027132519131,0.022538930939585027,0.005529776402184975,0.8903793703832769,0.21844864091093444,255
BNBUSDT,1,1698941700,230.909252,228.95838913791846,233.97,11.835092702810412,226.83806045362343,1698972900,228.8897016211771,stop,-26.894535733784085,-0.2790878023581406,0.009790634114565397,0.013595176342262798,0.5553037665378521,0.7710892411323603,105
BNBUSDT,1,1699060200,230.069,229.63536473338021,233.97,31.243632222320358,228.53113601729473,1699085700,233.899809,tp,111.71554855289214,1.1625300401275158,0.019215974338133435,0.0023862406495441723,2.8747665916611345,0.3569886584080282,86
BNBUSDT,1,1699607400,253.225945,250.1116509801519,258.31,14.206135915125314,246.3828407643706,1699624500,250.03661748485786,stop,-49.24019915796789,-0.5065130977345127,0.002266967549474504,0.013924106394390224,0.08388809818373556,0.5152551939281848,58
BNBUSDT,-1,1699680600,248.73535700000002,250.1873871065497,238.9,37.720102422977,251.29955117361456,1699709700,250.26244332268166,stop,-67.95408897563526,-0.7025735926697143,0.0029563830766529174,0.00629039240287817,0.28677898404372715,0.6101889693456554,98
BNBUSDT,1,1699842000,249.02468499999998,249.3580899584699,258.31,54.369194524360296,247.25820442563074,1699844100,249.215213,stop,-4.540042169448799,-0.047271362681012216,0.004277949392848451,0.0014644532127406574,0.6030720153152097,0.20644721787002887,8
BNBUSDT,1,1700133000,252.82582499999998,249.63990749105395,256.12,17.59513184538654,247.36995650221087,1700137500,249.56501551880663,stop,-62.236170936547076,-0.6483155605586984,0.003180747061737127,0.013906115010205063,0.14739633118464857,0.6444116095218754,16
BNBUSDT,1,1702494300,251.555444,249.35909406360167,257.13,28.89971603517369,248.2552605752132,1702518600,249.2842863353826,stop,-73.59658087075488,-0.7716599923431178,0.017469532482071802,0.009840550300314638,1.3316096211482304,0.7500928528419344,82
BNBUSDT,1,1704165300,316.714986,315.0210953517449,324.79,23.772931539031077,312.73405508804086,1704205800,314.9265890231394,stop,-50.77422345164441,-0.5365076386297392,0.013971596531905111,0.008572331970423433,1.111552573471384,0.681997768874586,136
BNBUSDT,1,1704355500,319.79591,315.9225867255996,334.3,9.70272032713089,310.09443942026047,1704364500,315.82780994958193,stop,-41.89336857265916,-0.4450555264690868,0.013615214778700532,0.013058046927491936,0.4488072157939678,0.43044092807135104,31
BNBUSDT,-1,1738977600,576.676945,579.5846536916928,558.05,7.530704040925984,582.8989211659796,1738997400,579.7585290878003,stop,-27.996323056231304,-0.29874942456994097,0.005751825226860825,0.0054329465173952795,0.5331015277969721,0.5035466090549805,67
BNBUSDT,-1,1747288500,650.164892,655.354092397724,645.01,17.202807127778723,655.5960846063474,1747293900,645.203503,tp,73.09363309065097,0.7823210647665769,0.010327983074176763,0.0016535928242646485,1.236356816392834,0.197950630353917,19
BNBUSDT,-1,1767921900,892.142277,895.644446425481,875.0,3.4334278940191383,905.8549131930806,1767929700,895.9131397594085,stop,-16.323523021845652,-0.17335445831433874,0.004508560017495988,0.004750052888705284,0.2933263118312493,0.30903780573849987,27
BNBUSDT,-1,1769038800,885.604239,894.5195693525077,864.5,2.511381203576065,904.3189327007512,1769048400,894.7879252233134,stop,-25.522920839693306,-0.27152199432546137,0.00342617939975777,0.010191641596241263,0.16213137380272258,0.48228205838269633,33
